Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
150,Mewtwo,Mega X,Genetic,106,190,100,154,100,130,Psychic,Fighting,Steadfast,,,3,127,2.3,30840,Genderless,1250000,S,1,0,77,7,6,5,0
150,Mewtwo,Mega Y,Genetic,106,150,70,194,120,140,Psychic,,Insomnia,,,3,33,1.5,30840,Genderless,1250000,S,1,0,77,7,6,5,0
151,Mew,,New Species,100,100,100,100,100,100,Psychic,,Synchronize,,,45,4,0.4,30840,Genderless,1059860,MS,1,0,78,6,6,5,100
152,Chikorita,,Leaf,45,49,65,49,65,45,Grass,,Overgrow,,Leaf Guard,45,6.4,0.9,5140,87.5,1059860,MS,2,0,79,5,8,3,70
153,Bayleef,,Leaf,60,62,80,63,80,69,Grass,,Overgrow,,Leaf Guard,45,15.8,1.2,5140,87.5,1059860,MS,2,152,79,5,8,3,70
154,Meganium,,Herb,80,82,100,83,100,80,Grass,,Overgrow,,Leaf Guard,45,100.5,1.8,5140,87.5,1059860,MS,2,153,79,5,8,3,70
155,Cyndaquil,,Fire Mouse,39,52,43,60,50,65,Fire,,Blaze,,Flash Fire,45,7.9,0.5,5140,87.5,1059860,MS,2,0,80,10,12,3,70
156,Quilava,,Volcano,58,64,58,80,65,80,Fire,,Blaze,,Flash Fire,45,19,0.9,5140,87.5,1059860,MS,2,155,80,10,8,3,70
157,Typhlosion,,Volcano,78,84,78,109,85,100,Fire,,Blaze,,Flash Fire,45,79.5,1.7,5140,87.5,1059860,MS,2,156,80,10,8,3,70
158,Totodile,,Big Jaw,50,65,64,44,48,43,Water,,Torrent,,Sheer Force,45,9.5,0.6,5140,87.5,1059860,MS,2,0,81,2,6,9,70
159,Croconaw,,Big Jaw,65,80,80,59,63,58,Water,,Torrent,,Sheer Force,45,25,1.1,5140,87.5,1059860,MS,2,158,81,2,6,9,70
160,Feraligatr,,Big Jaw,85,105,100,79,83,78,Water,,Torrent,,Sheer Force,45,88.8,2.3,5140,87.5,1059860,MS,2,159,81,2,6,9,70
161,Sentret,,Scout,35,46,34,35,45,20,Normal,,Run Away,Keen Eye,Frisk,255,6,0.8,3855,50,1000000,MF,2,0,82,3,8,3,70
162,Furret,,Long Body,85,76,64,45,55,90,Normal,,Run Away,Keen Eye,Frisk,90,32.5,1.8,3855,50,1000000,MF,2,161,82,3,8,3,70
163,Hoothoot,,Owl,60,30,30,36,56,50,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,255,21.2,0.7,3855,50,1000000,MF,2,0,83,3,9,2,70
164,Noctowl,,Owl,100,50,50,76,96,70,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,90,40.8,1.6,3855,50,1000000,MF,2,163,83,3,9,2,70
165,Ledyba,,Five Star,40,20,30,40,80,55,Bug,Flying,Swarm,Early Bird,Rattled,255,10.8,1,3855,50,800000,F,2,0,84,8,9,2,70
166,Ledian,,Five Star,55,35,50,55,110,85,Bug,Flying,Swarm,Early Bird,Iron Fist,90,35.6,1.4,3855,50,800000,F,2,165,84,8,9,2,70
167,Spinarak,,String Spit,40,60,40,40,40,30,Bug,Poison,Swarm,Insomnia,Sniper,255,8.5,0.5,3855,50,800000,F,2,0,85,5,14,2,70
168,Ariados,,Long Leg,70,90,70,60,60,40,Bug,Poison,Swarm,Insomnia,Sniper,90,33.5,1.1,3855,50,800000,F,2,167,85,8,14,2,70
169,Crobat,,Bat,85,90,80,70,80,130,Poison,Flying,Inner Focus,,Infiltrator,90,75,1.8,3855,50,1000000,MF,2,42,17,7,13,1,70
170,Chinchou,,Angler,75,38,38,56,56,67,Water,Electric,Volt Absorb,Illuminate,Water Absorb,190,12,0.5,5140,50,1250000,S,2,0,86,2,3,7,70
171,Lanturn,,Light,125,58,58,76,76,67,Water,Electric,Volt Absorb,Illuminate,Water Absorb,75,22.5,1.2,5140,50,1250000,S,2,170,86,2,3,7,70
172,Pichu,,Tiny Mouse,20,40,15,35,35,60,Electric,,Static,,Lightning Rod,190,2,0.3,2570,50,1000000,MF,2,0,10,10,8,2,70
173,Cleffa,,Star Shape,50,25,28,45,55,15,Fairy,,Cute Charm,Magic Guard,Friend Guard,150,3,0.3,2570,25,800000,F,2,0,14,6,6,4,140
174,Igglybuff,,Balloon,90,30,15,40,20,15,Normal,Fairy,Cute Charm,,Friend Guard,170,1,0.3,2570,25,800000,F,2,0,16,6,12,3,70
175,Togepi,,Spike Ball,35,20,65,40,65,20,Fairy,,Hustle,Serene Grace,Super Luck,190,1.5,0.3,2570,87.5,800000,F,2,0,87,9,12,2,70
176,Togetic,,Happiness,55,40,85,80,105,40,Fairy,Flying,Hustle,Serene Grace,Super Luck,75,3.2,0.6,2570,87.5,800000,F,2,175,87,9,12,2,70
177,Natu,,Tiny Bird,40,50,45,70,45,70,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,190,2,0.2,5140,50,1000000,MF,2,0,88,5,9,2,70
178,Xatu,,Mystic,65,75,70,95,70,95,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,75,15,1.5,5140,50,1000000,MF,2,177,88,5,9,2,70
179,Mareep,,Wool,55,40,40,65,45,35,Electric,,Static,,Plus,235,7.8,0.6,5140,50,1059860,MS,2,0,89,9,8,3,70
180,Flaaffy,,Wool,70,55,55,80,60,45,Electric,,Static,,Plus,120,13.3,0.8,5140,50,1059860,MS,2,179,89,6,6,3,70
181,Ampharos,,Light,90,75,85,115,90,55,Electric,,Static,,Plus,45,61.5,1.4,5140,50,1059860,MS,2,180,89,10,6,3,70
181,Ampharos,Mega,Light,90,95,105,165,110,45,Electric,Dragon,Mold Breaker,,,45,61.5,1.4,5140,50,1059860,MS,2,180,89,10,6,3,70
182,Bellossom,,Flower,75,80,95,90,100,50,Grass,,Chlorophyll,,Healer,45,5.8,0.4,5140,50,1059860,MS,2,44,18,5,12,3,70
183,Marill,,Aqua Mouse,70,20,50,20,50,40,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,190,8.5,0.4,2570,50,800000,F,2,298,90,2,6,9,70
184,Azumarill,,Aqua Rabbit,100,50,80,60,80,50,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,75,28.5,0.8,2570,50,800000,F,2,183,90,2,6,9,70
185,Sudowoodo,,Imitation,70,100,115,30,65,30,Rock,,Sturdy,Rock Head,Rattled,65,38,1.2,5140,50,1000000,MF,2,438,91,3,12,2,70
186,Politoed,,Frog,90,75,75,90,100,70,Water,,Water Absorb,Damp,Drizzle,45,33.9,1.1,5140,50,1059860,MS,2,61,26,5,12,9,70
187,Hoppip,,Cottonweed,35,35,40,35,55,50,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,255,0.5,0.4,5140,50,1059860,MS,2,0,92,6,6,3,70
188,Skiploom,,Cottonweed,55,45,50,45,65,80,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,120,1,0.6,5140,50,1059860,MS,2,187,92,5,6,3,70
189,Jumpluff,,Cottonweed,75,55,70,55,95,110,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,45,3,0.8,5140,50,1059860,MS,2,188,92,2,6,3,70
190,Aipom,,Long Tail,55,70,55,40,55,85,Normal,,Run Away,Pickup,Skill Link,45,11.5,0.8,5140,50,800000,F,2,0,93,7,6,2,70
191,Sunkern,,Seed,30,30,30,30,30,30,Grass,,Chlorophyll,Solar Power,Early Bird,235,1.8,0.3,5140,50,1059860,MS,2,0,94,10,1,3,70
192,Sunflora,,Sun,75,75,55,105,85,30,Grass,,Chlorophyll,Solar Power,Early Bird,120,8.5,0.8,5140,50,1059860,MS,2,191,94,10,12,3,70
193,Yanma,,Clear Wing,65,65,45,75,45,95,Bug,Flying,Speed Boost,Compound Eyes,Frisk,75,38,1.2,5140,50,1000000,MF,2,0,95,8,13,2,70
194,Wooper,,Water Fish,55,45,45,25,25,15,Water,Ground,Damp,Water Absorb,Unaware,255,8.5,0.4,5140,50,1000000,MF,2,0,96,2,7,9,70
195,Quagsire,,Water FIsh,95,85,85,65,65,35,Water,Ground,Damp,Water Absorb,Unaware,90,75,1.4,5140,50,1000000,MF,2,194,96,2,6,9,70
196,Espeon,,Sun,65,65,60,130,95,110,Psychic,,Synchronize,,Magic Bounce,45,26.5,0.9,5140,87.5,1000000,MF,2,133,67,7,8,8,70
197,Umbreon,,Moonlight,95,65,110,60,130,65,Dark,,Synchronize,,Inner Focus,45,27,1,5140,87.5,1000000,MF,2,133,67,1,8,8,35
198,Murkrow,,Darkness,60,85,42,85,42,91,Dark,Flying,Insomnia,Super Luck,Prankster,30,2.1,0.5,5140,50,1059860,MS,2,0,97,1,9,2,35
199,Slowking,,Royal,95,75,80,100,110,30,Water,Psychic,Oblivious,Own Tempo,Regenerator,70,79.5,2,5140,50,1000000,MF,2,79,33,6,6,9,70
200,Misdreavus,,Screech,60,60,60,85,85,85,Ghost,,Levitate,,,45,1,0.7,6425,50,800000,F,2,0,98,4,1,1,35
201,Unown,,Symbol,48,72,48,72,48,48,Psychic,,Levitate,,,225,5,0.5,10280,Genderless,1000000,MF,2,0,99,1,1,5,70
202,Wobbuffet,,Patient,190,33,58,33,58,33,Psychic,,Shadow Tag,,Telepathy,45,28.5,1.3,5140,50,1000000,MF,2,360,100,2,5,1,70
203,Girafarig,,Long Neck,70,80,65,90,65,85,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,60,41.5,1.5,5140,50,1000000,MF,2,0,101,10,8,3,70
204,Pineco,,Bagworm,50,65,90,35,35,15,Bug,,Sturdy,,Overcoat,190,7.2,0.6,5140,50,1000000,MF,2,0,102,4,1,2,70
205,Forretress,,Bagworm,75,90,140,60,60,40,Bug,Steel,Sturdy,,Overcoat,75,125.8,1.2,5140,50,1000000,MF,2,204,102,7,1,2,70
206,Dunsparce,,Land Snake,100,70,70,65,65,45,Normal,,Serene Grace,Run Away,Rattled,190,14,1.5,5140,50,1000000,MF,2,0,103,10,2,1,70
207,Gligar,,Fly Scorpion,65,75,105,35,65,85,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,60,64.8,1.1,5140,50,1059860,MS,2,0,104,7,9,4,70
208,Steelix,,Iron Snake,75,85,200,55,65,30,Steel,Ground,Rock Head,Sturdy,Sheer Force,25,400,9.2,5140,50,1000000,MF,2,95,41,4,2,1,70
208,Steelix,Mega,Iron Snake,75,125,230,55,95,30,Steel,Ground,Sand Force,,,25,740,10.5,5140,50,1000000,MF,2,95,41,4,2,1,70
209,Snubbull,,Fairy,60,80,50,40,40,30,Fairy,,Intimidate,Run Away,Rattled,190,7.8,0.6,5140,25,800000,F,2,0,105,6,12,8,70
210,Granbull,,Fairy,90,120,75,60,60,45,Fairy,,Intimidate,Quick Feet,Rattled,75,48.7,1.4,5140,25,800000,F,2,209,105,7,6,8,70
211,Qwilfish,,Balloon,65,95,75,55,55,85,Water,Poison,Poison Point,Swift Swim,Intimidate,45,3.9,0.5,5140,50,1000000,F,2,0,106,4,3,7,70
212,Scizor,,Pincer,70,130,100,55,80,65,Bug,Steel,Swarm,Technician,Light Metal,25,118,1.8,5140,50,1000000,MF,2,123,58,8,13,3,70
212,Scizor,Mega,Pincer,70,150,140,65,100,75,Bug,Steel,Technician,,,25,125,2,5140,50,1000000,MF,2,123,58,8,13,3,70
213,Shuckle,,Mold,20,10,230,10,230,5,Bug,Rock,Sturdy,Gluttony,Contrary,190,20.5,0.6,5140,50,1059860,MS,2,0,107,10,14,4,70
214,Heracross,,Single Horn,80,125,75,40,95,85,Bug,Fighting,Swarm,Guts,Moxie,45,54,1.5,6425,50,1250000,S,2,0,108,2,12,2,70
214,Heracross,Mega,Single Horn,80,185,115,40,105,75,Bug,Fighting,Skill Link,,,45,62.5,1.7,6425,50,1250000,S,2,0,108,2,12,2,70
215,Sneasel,,Sharp Claw,55,95,55,35,75,115,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,60,28,0.9,5140,50,1059860,MS,2,0,109,1,6,2,35
216,Teddiursa,,Little Bear,60,80,50,50,50,40,Normal,,Pickup,Quick Feet,Honey Gather,120,8.8,0.6,5140,50,1000000,MF,2,0,110,3,6,4,70
217,Ursaring,,Hibernator,90,130,75,75,75,55,Normal,,Guts,Quick Feet,Unnerve,60,125.8,1.8,5140,50,1000000,MF,2,216,110,3,6,4,70
218,Slugma,,Lava,40,40,40,70,40,20,Fire,,Magma Armor,Flame Body,Weak Armor,190,35,0.7,5140,50,1000000,MF,2,0,111,8,2,4,70
219,Magcargo,,Lava,50,50,120,80,80,30,Fire,Rock,Magma Armor,Flame Body,Weak Armor,75,55,0.8,5140,50,1000000,MF,2,218,111,8,2,4,70
220,Swinub,,Pig,50,50,40,30,30,50,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,225,6.5,0.4,5140,50,1250000,S,2,0,112,3,8,1,70
221,Piloswine,,Swine,100,100,80,60,60,50,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,75,55.8,1.1,5140,50,1250000,S,2,220,112,3,8,1,70
222,Corsola,,Coral,55,55,85,65,85,35,Water,Rock,Hustle,Natural Cure,Regenerator,60,5,0.6,5140,25,800000,F,2,0,113,6,14,7,70
223,Remoraid,,Jet,35,65,35,65,35,65,Water,,Hustle,Sniper,Moody,190,12,0.6,5140,50,1000000,MF,2,0,114,4,3,7,70
224,Octillery,,Jet,75,105,75,105,75,45,Water,,Suction Cups,Sniper,Moody,75,28.5,0.9,5140,50,1000000,MF,2,223,114,8,10,7,70
225,Delibird,,Delivery,45,55,45,65,45,75,Ice,Flying,Vital Spirit,Hustle,Insomnia,45,16,0.9,5140,50,800000,F,2,0,115,8,9,4,70
226,Mantine,,Kite,65,40,70,80,140,70,Water,Flying,Swift Swim,Water Absorb,Water Veil,25,220,2.1,6425,50,1250000,S,2,458,116,7,9,7,70
227,Skarmory,,Armor Bird,65,80,140,40,70,70,Steel,Flying,Keen Eye,Sturdy,Weak Armor,25,50.5,1.7,6425,50,1250000,S,2,0,117,4,9,6,70
228,Houndour,,Dark,45,60,30,80,50,65,Dark,Fire,Early Bird,Flash Fire,Unnerve,120,10.8,0.6,5140,50,1250000,S,2,0,118,1,8,6,35
229,Houndoom,,Dark,75,90,50,110,80,95,Dark,Fire,Early Bird,Flash Fire,Unnerve,45,35,1.4,5140,50,1250000,S,2,228,118,1,8,6,35
229,Houndoom,Mega,Dark,75,90,90,140,90,115,Dark,Fire,Solar Power,,,45,1.9,49.5,5140,50,1250000,S,2,228,118,1,8,6,35
230,Kingdra,,Dragon,75,95,95,95,95,85,Water,Dragon,Swift Swim,Sniper,Damp,45,152,1.8,5140,50,1000000,MF,2,117,54,2,5,7,70
231,Phanpy,,Long Nose,90,60,60,40,40,40,Ground,,Pickup,,Sand Veil,120,33.5,0.5,5140,50,1000000,MF,2,0,119,2,8,6,70
232,Donphan,,Armor,90,120,120,60,60,50,Ground,,Sturdy,,Sand Veil,60,120,1.1,5140,50,1000000,MF,2,231,119,4,8,6,70
233,Porygon2,,Virtual,85,80,90,105,95,60,Normal,,Trace,Download,Analytic,45,32.5,0.6,5140,Genderless,1000000,MF,2,137,68,8,7,8,70
234,Stantler,,Big Horn,73,95,62,85,65,85,Normal,,Intimidate,Frisk,Sap Sipper,45,71.2,1.4,5140,50,1250000,S,2,0,120,3,8,2,70
235,Smeargle,,Painter,55,20,35,20,45,75,Normal,,Own Tempo,Technician,Moody,45,58,1.2,5140,50,800000,F,2,0,121,9,6,8,70
236,Tyrogue,,Scuffle,35,35,35,35,35,35,Fighting,,Guts,Steadfast,Vital Spirit,75,21,0.7,6425,100,1000000,MF,2,0,47,7,12,8,70
237,Hitmontop,,Handstand,50,95,95,35,110,70,Fighting,,Intimidate,Technician,Steadfast,45,48,1.4,6425,100,1000000,MF,2,236,47,3,6,8,70
238,Smoochum,,Kiss,45,30,15,85,65,65,Ice,Psychic,Oblivious,Forewarn,Hydration,45,6,0.4,6425,0,1000000,MF,2,0,59,6,12,8,70
239,Elekid,,Electric,45,63,37,65,55,95,Electric,,Static,,Vital Spirit,45,23.5,0.6,6425,75,1000000,MF,2,0,60,10,12,3,70
240,Magby,,Live Coal,45,75,37,70,55,83,Fire,,Flame Body,,Vital Spirit,45,21.4,0.7,6425,75,1000000,MF,2,0,61,8,6,4,70
241,Miltank,,Milk Cow,95,80,105,40,70,100,Normal,,Thick Fat,Scrappy,Sap Sipper,45,75.5,1.2,5140,0,1250000,S,2,0,122,6,6,3,70
242,Blissey,,Happiness,255,10,10,75,135,55,Normal,,Natural Cure,Serene Grace,Healer,30,46.8,1.5,5140,0,800000,F,2,113,51,6,12,8,140
243,Raikou,,Thunder,90,85,75,115,100,115,Electric,,Pressure,,Volt Absorb,3,178,1.9,20560,Genderless,1250000,S,2,0,123,10,8,3,35
244,Entei,,Volcano,115,115,85,90,75,100,Fire,,Pressure,,Flash Fire,3,198,2.1,20560,Genderless,1250000,S,2,0,124,3,8,3,35
245,Suicune,,Aurora,100,75,115,90,115,85,Water,,Pressure,,Water Absorb,3,187,2,20560,Genderless,1250000,S,2,0,125,2,8,3,35
246,Larvitar,,Rock Skin,50,64,50,45,50,41,Rock,Ground,Guts,,Sand Veil,45,72,0.6,10280,50,1250000,S,2,0,126,5,6,4,35
247,Pupitar,,Hard Shell,70,84,70,65,70,51,Rock,Ground,Shed Skin,,,45,152,1.2,10280,50,1250000,S,2,246,126,4,2,4,35
248,Tyranitar,,Armor,100,134,110,95,100,61,Rock,Dark,Sand Stream,,Unnerve,45,202,2,10280,50,1250000,S,2,247,126,5,6,4,35
248,Tyranitar,Mega,Armor,100,164,150,95,120,71,Rock,Dark,Sand Stream,,,45,255,2.5,10280,50,1250000,S,2,247,126,5,6,4,35
249,Lugia,,Diving,106,90,130,90,154,110,Psychic,Flying,Pressure,,Multiscale,3,216,5.2,30840,Genderless,1250000,S,2,0,127,9,9,5,0
250,Ho-oh,,Rainbow,106,130,90,110,154,90,Fire,Flying,Pressure,,Regenerator,3,199,3.8,30840,Genderless,1250000,S,2,0,128,8,9,5,0
251,Celebi,,Time Travel,100,100,100,100,100,100,Psychic,Grass,Natural Cure,,,45,5,0.6,30840,Genderless,1059860,MS,2,0,129,5,12,2,100
252,Treecko,,Wood Gecko,40,45,35,65,55,70,Grass,,Overgrow,,Unburden,45,5,0.5,5140,87.5,1059860,MS,3,0,130,5,6,2,70
253,Grovyle,,Wood Gecko,50,65,45,85,65,95,Grass,,Overgrow,,Unburden,45,21.6,0.9,5140,87.5,1059860,MS,3,252,130,5,6,2,70
254,Sceptile,,Forest,70,85,65,105,85,120,Grass,,Overgrow,,Unburden,45,52.2,1.7,5140,87.5,1059860,MS,3,253,130,5,6,2,70
254,Sceptile,Mega,Forest,70,110,75,145,85,145,Grass,Dragon,Lightning Rod,,,45,55.2,1.9,5140,87.5,1059860,MS,3,253,130,5,6,2,70
255,Torchic,,Chick,45,60,40,70,50,45,Fire,,Blaze,,Speed Boost,45,2.5,0.4,5140,87.5,1059860,MS,3,0,131,8,7,3,70
256,Combusken,,Young Fowl,60,85,60,85,60,55,Fire,Fighting,Blaze,,Speed Boost,45,19.5,0.9,5140,87.5,1059860,MS,3,255,131,8,6,3,70
257,Blaziken,,Blaze,80,120,70,110,70,80,Fire,Fighting,Blaze,,Speed Boost,45,52,1.9,5140,87.5,1059860,MS,3,256,131,8,6,3,70
257,Blaziken,Mega,Blaze,80,160,80,130,80,100,Fire,Fighting,Speed Boost,,,45,52,1.9,5140,87.5,1059860,MS,3,256,131,8,6,3,70
258,Mudkip,,Mud Fish,50,70,50,50,50,40,Water,,Torrent,,Damp,45,7.6,0.4,5140,87.5,1059860,MS,3,0,132,2,8,9,70
259,Marshtomp,,Mud Fish,70,85,70,60,70,50,Water,Ground,Torrent,,Damp,45,28,0.7,5140,87.5,1059860,MS,3,258,132,2,6,9,70
260,Swampert,,Mud Fish,100,110,90,85,90,60,Water,Ground,Torrent,,Damp,45,81.9,1.5,5140,87.5,1059860,MS,3,259,132,2,6,9,70
260,Swampert,Mega,Mud Fish,100,150,110,95,110,70,Water,Ground,Swift Swim,,,45,102,1.9,5140,87.5,1059860,MS,3,259,132,2,6,9,70
261,Poochyena,,Bite,35,55,35,30,30,35,Dark,,Run Away,Quick Feet,Rattled,255,13.6,0.5,3855,50,1000000,MF,3,0,133,4,8,3,70
262,Mightyena,,Bite,70,90,70,60,60,70,Dark,,Intimidate,Quick Feet,Moxie,127,37,1,3855,50,1000000,MF,3,261,133,4,8,3,70
263,Zigzagoon,,Tiny Raccoon,38,30,41,30,41,60,Normal,,Pickup,Gluttony,Quick Feet,255,17.5,0.4,3855,50,1000000,MF,3,0,134,3,8,3,70
264,Linoone,,Rushing,78,70,61,50,61,100,Normal,,Pickup,Gluttony,Quick Feet,90,32.5,0.5,3855,50,1000000,MF,3,263,134,9,8,3,70
265,Wurmple,,Worm,45,45,35,20,30,20,Bug,,Shield Dust,,Run Away,255,3.6,0.3,3855,50,1000000,MF,3,0,135,8,2,2,70
266,Silcoon,,Cocoon,50,35,55,25,25,15,Bug,,Shed Skin,,,120,10,0.6,3855,50,1000000,MF,3,265,135,9,1,2,70
267,Beautifly,,Butterfly,60,70,50,100,50,65,Bug,Flying,Swarm,,Rivalry,45,28.4,1,3855,50,1000000,MF,3,266,135,10,13,2,70
268,Cascoon,,Cocoon,50,35,55,25,25,15,Bug,,Shed Skin,,,120,11.5,0.7,3855,50,1000000,MF,3,265,135,7,1,2,70
269,Dustox,,Poison Moth,60,50,70,50,90,65,Bug,Poison,Shield Dust,,Compound Eyes,45,31.6,1.2,3855,50,1000000,MF,3,268,135,5,13,2,70
270,Lotad,,Water Weed,40,30,30,40,50,30,Water,Grass,Swift Swim,Rain Dish,Own Tempo,255,2.6,0.5,3855,50,1059860,MS,3,0,136,5,14,9,70
271,Lombre,,Jolly,60,50,50,60,70,50,Water,Grass,Swift Swim,Rain Dish,Own Tempo,120,32.5,1.2,3855,50,1059860,MS,3,270,136,5,12,9,70
272,Ludicolo,,Carefree,80,70,70,90,100,70,Water,Grass,Swift Swim,Rain Dish,Own Tempo,45,55,1.5,3855,50,1059860,MS,3,271,136,5,12,9,70
273,Seedot,,Acorn,40,40,50,30,30,30,Grass,,Chlorophyll,Early Bird,Pickpocket,255,4,0.5,3855,50,1059860,MS,3,0,137,3,7,2,70
274,Nuzleaf,,Wily,70,70,40,60,40,60,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,120,28,1,3855,50,1059860,MS,3,273,137,3,12,2,70
275,Shiftry,,Wicked,90,100,60,90,60,80,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,45,59.6,1.3,3855,50,1059860,MS,3,274,137,3,12,2,70
276,Taillow,,Tiny Swallow,40,55,30,30,30,85,Normal,Flying,Guts,,Scrappy,200,2.3,0.3,3855,50,1059860,MS,3,0,138,2,9,3,70
277,Swellow,,Swallow,60,85,60,50,50,125,Normal,Flying,Guts,,Scrappy,45,19.8,0.7,3855,50,1059860,MS,3,276,138,2,9,3,70
278,Wingull,,Seagull,40,30,30,55,30,85,Water,Flying,Keen Eye,,Rain Dish,190,9.5,0.6,5140,50,1000000,MF,3,0,139,9,9,7,70
279,Pelipper,,Water Bird,60,50,100,85,70,65,Water,Flying,Keen Eye,,Rain Dish,45,28,1.2,5140,50,1000000,MF,3,278,139,10,9,7,70
280,Ralts,,Feeling,28,25,25,45,35,40,Psychic,Fairy,Synchronize,Trace,Telepathy,235,6.6,0.4,5140,50,1250000,S,3,0,140,9,12,8,35
281,Kirlia,,Emotion,38,35,35,65,55,50,Psychic,Fairy,Synchronize,Trace,Telepathy,120,20.2,0.8,5140,50,1250000,S,3,280,140,9,12,8,35
282,Gardevoir,,Embrace,68,65,65,125,115,80,Psychic,Fairy,Synchronize,Trace,Telepathy,45,48.4,1.6,5140,50,1250000,S,3,281,140,9,12,8,35
282,Gardevoir,Mega,Embrace,68,85,65,165,135,100,Psychic,Fairy,Pixilate,,,45,48.4,1.6,5140,50,1250000,S,3,281,140,9,12,8,35
283,Surskit,,Pond Skater,40,30,32,50,52,65,Bug,Water,Swift Swim,,Rain Dish,200,1.7,0.5,3855,50,1000000,MF,3,0,141,2,14,9,70
284,Masquerain,,Eyeball,70,60,62,80,82,60,Bug,Flying,Intimidate,,Unnerve,75,3.6,0.8,3855,50,1000000,MF,3,283,141,2,13,9,70
285,Shroomish,,Mushroom,60,40,60,40,60,35,Grass,,Effect Spore,Poison Heal,Quick Feet,255,4.5,0.4,3855,50,1640000,Fl,3,0,142,3,7,2,70
286,Breloom,,Mushroom,60,130,80,60,60,70,Grass,Fighting,Effect Spore,Poison Heal,Technician,90,39.2,1.2,3855,50,1640000,Fl,3,285,142,5,6,2,70
287,Slakoth,,Slacker,60,60,60,35,35,30,Normal,,Truant,,,255,24,0.8,3855,50,1250000,S,3,0,143,3,8,2,70
288,Vigoroth,,Wild Monkey,80,80,80,55,55,90,Normal,,Vital Spirit,,,120,46.5,1.4,3855,50,1250000,S,3,287,143,9,6,2,70
289,Slaking,,Lazy,150,160,100,95,65,100,Normal,,Truant,,,45,130.5,2,3855,50,1250000,S,3,288,143,3,12,2,70
290,Nincada,,Trainee,31,45,90,30,30,40,Bug,Ground,Compound Eyes,,Run Away,255,5.5,0.5,3855,50,600000,E,3,0,144,4,14,2,70
291,Ninjask,,Ninja,61,90,45,50,50,160,Bug,Flying,Speed Boost,,Infiltrator,120,12,0.8,3855,50,600000,E,3,290,144,10,13,2,70
292,Shedinja,,Shed,1,90,45,30,30,40,Bug,Ghost,Wonder Guard,,,45,1.2,0.8,3855,Genderless,600000,E,3,290,144,3,5,2,70
293,Whismur,,Whisper,64,51,23,51,23,28,Normal,,Soundproof,,Rattled,190,16.3,0.6,5140,50,1059860,MS,3,0,145,6,6,1,70
294,Loudred,,Big Voice,84,71,43,71,43,48,Normal,,Soundproof,,Scrappy,120,40.5,1,5140,50,1059860,MS,3,293,145,2,6,1,70
295,Exploud,,Loud Noise,104,91,63,91,73,68,Normal,,Soundproof,,Scrappy,45,84,1.5,5140,50,1059860,MS,3,294,145,2,6,1,70
296,Makuhita,,Guts,72,60,30,20,30,25,Fighting,,Thick Fat,Guts,Sheer Force,180,86.4,1,5140,75,1640000,Fl,3,0,146,10,12,4,70
297,Hariyama,,Arm Thrust,144,120,60,40,60,50,Fighting,,Thick Fat,Guts,Sheer Force,200,253.8,2.3,5140,75,1640000,Fl,3,296,146,3,12,4,70
298,Azurill,,Polka Dot,50,20,40,20,40,20,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,150,2,0.2,2570,75,800000,F,3,0,90,2,7,9,70
299,Nosepass,,Compass,30,45,135,45,90,30,Rock,,Sturdy,Magnet Pull,Sand Force,255,97,1,5140,50,1000000,MF,3,0,147,4,12,1,70
300,Skitty,,Kitten,50,45,45,35,35,50,Normal,,Cute Charm,Normalize,Wonder Skin,255,11,0.6,3855,25,800000,F,3,0,148,6,8,2,70
301,Delcatty,,Prim,70,65,65,55,55,70,Normal,,Cute Charm,Normalize,Wonder Skin,60,32.6,1.1,3855,25,800000,F,3,300,148,7,8,2,70
302,Sableye,,Darkness,50,75,75,65,65,50,Dark,Ghost,Keen Eye,Stall,Prankster,45,11,0.5,6425,50,1059860,MS,3,0,149,7,12,1,35
302,Sableye,Mega,Darkness,50,85,125,85,115,20,Dark,Ghost,Magic Bounce,,,45,161,0.5,6425,50,1059860,MS,3,0,149,7,12,1,35
303,Mawile,,Deceiver,50,85,85,55,55,50,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,45,11.5,0.6,5140,50,800000,F,3,0,150,1,12,1,70
